"kernel_name"
vectorized_elementwise_kernel
elementwise_kernel_with_index
unrolled_elementwise_kernel
elementwise_kernel
indexSelectSmallIndex
triu_tril_kernel
CatArrayBatchedCopy
reduce_kernel
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
Kernel
softmax_warp_forward
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
cunn_SoftMaxForward
fill_reverse_indices_kernel
DeviceRadixSortHistogramKernel
DeviceRadixSortExclusiveSumKernel
DeviceRadixSortOnesweepKernel
DeviceScanInitKernel
DeviceScanKernel
distribution_elementwise_grid_stride_kernel
_scatter_gather_elementwise_kernel
kernel
gemvNSP_kernel
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_tn
splitKreduce_kernel
gemv2T_kernel_val
